image_filename,opencv_haar,insightface,mtcnn,yolo_face,face_detection,face_detection_tflite
haan_ghil_muulnaat_1780561419986.png,0,1,1,1,1,1
haan_ghil_muulnaat_1780561420652.png,0,0,0,1,0,0
haan_ghil_muulnaat_1780561421200.png,0,1,1,1,0,0
haan_ghil_muulnaat_1780561421691.png,0,1,1,1,0,1
haan_ghil_muulnaat_1780561422296.png,0,1,1,1,1,1
haan_ghil_muulnaat_1780561422910.png,0,1,0,1,0,0
haan_ghil_muulnaat_1780561423538.png,0,1,1,1,0,0
haan_ghil_muulnaat_1780561424143.png,0,0,0,1,0,0
haan_ghil_muulnaat_1780561424799.png,0,1,1,1,0,1
haan_ghil_muulnaat_1780561425430.png,0,1,1,1,0,0
haan_ghil_muulnaat_1780561425931.png,0,1,1,1,0,0
haan_ghil_muulnaat_1780561426531.png,0,1,0,1,0,0
haan_ghil_muulnaat_1780561427166.png,1,0,0,0,0,0
haan_ghil_muulnaat_1780561427789.png,1,1,1,1,1,1
haan_ghil_muulnaat_1780561428265.png,0,0,1,1,0,1
haan_ghil_muulnaat_1780561428731.png,0,1,1,1,0,1
haan_ghil_muulnaat_1780561429187.png,0,0,1,1,1,1
haan_ghil_muulnaat_1780561429803.png,0,0,1,1,1,1
haan_ghil_muulnaat_1780561430315.png,0,1,1,1,0,1
haan_ghil_muulnaat_1780561431004.png,0,1,0,0,0,0
haan_ghil_muulnaat_1780561431506.png,0,1,1,1,0,1
haan_ghil_muulnaat_1780561432166.png,0,1,1,1,0,0
haan_ghil_muulnaat_1780561432831.png,0,1,1,1,1,0
haan_ghil_muulnaat_1780561433406.png,0,1,1,1,0,1
haan_ghil_muulnaat_1780561434016.png,0,1,1,1,0,0
haan_ghil_muulnaat_1780561434513.png,0,1,1,1,0,1
haan_ghil_muulnaat_1780561435157.png,0,1,1,1,0,1
haan_ghil_muulnaat_1780561435739.png,0,0,0,1,0,0
haan_ghil_muulnaat_1780561436245.png,0,1,1,1,1,1
haan_ghil_muulnaat_1780561436913.png,0,1,1,1,0,1
haan_ghil_muulnaat_1780561437506.png,1,1,1,1,0,1
haan_ghil_muulnaat_1780561437947.png,0,1,1,1,0,1
haan_ghil_muulnaat_1780561438451.png,0,1,1,0,1,0
haan_ghil_muulnaat_1780561439098.png,0,0,0,1,0,0
haan_ghil_muulnaat_1780561439584.png,0,1,1,1,0,0
haan_ghil_muulnaat_1780561440220.png,1,1,1,1,1,0
haan_ghil_muulnaat_1780561440867.png,0,1,1,1,0,1
haan_ghil_muulnaat_1780561441540.png,0,1,0,1,0,0
haan_ghil_muulnaat_1780561442246.png,0,1,1,0,0,0
haan_ghil_muulnaat_1780561442877.png,0,1,1,1,0,0
haan_ghil_muulnaat_1780561443377.png,0,1,1,1,0,1
haan_ghil_muulnaat_1780561443892.png,0,1,1,1,1,1
haan_ghil_muulnaat_1780561444426.png,0,1,1,1,0,1
haan_ghil_muulnaat_1780561445069.png,0,1,1,1,0,0
haan_ghil_muulnaat_1780561445533.png,0,0,1,1,1,0
haan_ghil_muulnaat_1780561446036.png,0,1,1,1,1,1
haan_ghil_muulnaat_1780561446552.png,0,1,1,1,1,1
haan_ghil_muulnaat_1780561447153.png,1,1,1,1,0,1
haan_ghil_muulnaat_1780561447646.png,0,1,1,1,0,1
haan_ghil_muulnaat_1780561448262.png,0,1,1,1,0,0
haan_ghil_muulnaat_1780561448751.png,1,1,1,1,1,0
haan_ghil_muulnaat_1780561449344.png,0,1,1,1,0,1
haan_ghil_muulnaat_1780561449852.png,0,1,1,1,0,1
haan_ghil_muulnaat_1780561450467.png,0,1,1,1,0,1
haan_ghil_muulnaat_1780561451152.png,0,1,1,1,0,1
haan_ghil_muulnaat_1780561451753.png,0,1,0,1,0,0
haan_ghil_muulnaat_1780561452420.png,0,0,0,1,0,0
haan_ghil_muulnaat_1780561452936.png,1,1,1,1,0,1
haan_ghil_muulnaat_1780561453423.png,0,1,1,1,0,1
haan_ghil_muulnaat_1780561454081.png,0,0,0,0,0,0
haan_ghil_muulnaat_1780561454594.png,1,1,1,1,0,1
haan_ghil_muulnaat_1780561455089.png,1,1,1,1,0,0
haan_ghil_muulnaat_1780561455777.png,0,1,0,1,0,0
haan_ghil_muulnaat_1780561456303.png,0,1,1,1,0,1
haan_ghil_muulnaat_1780561456865.png,0,1,1,1,0,1
haan_ghil_muulnaat_1780561457408.png,1,1,1,1,1,0
haan_ghil_muulnaat_1780561457908.png,0,1,1,1,1,0
haan_ghil_muulnaat_1780561458431.png,0,1,1,1,0,1
haan_ghil_muulnaat_1780561458948.png,0,1,1,1,1,0
haan_ghil_muulnaat_1780561459460.png,0,0,0,0,0,0
haan_ghil_muulnaat_1780561459999.png,0,1,1,0,0,1
haan_ghil_muulnaat_1780561460624.png,0,1,1,1,0,0
haan_ghil_muulnaat_1780561461155.png,0,1,1,1,1,1
haan_ghil_muulnaat_1780561461828.png,0,1,1,1,0,1
haan_ghil_muulnaat_1780561462321.png,1,1,1,1,0,1
haan_ghil_muulnaat_1780561463025.png,0,1,1,1,1,1
haan_ghil_muulnaat_1780561463680.png,0,1,1,0,0,1
haan_ghil_muulnaat_1780561464318.png,0,1,0,1,0,1
haan_ghil_muulnaat_1780561464993.png,1,1,1,1,0,0
haan_ghil_muulnaat_1780561465491.png,0,1,1,1,0,1
haan_ghil_muulnaat_1780561466020.png,0,1,1,1,0,0
haan_ghil_muulnaat_1780561466694.png,1,1,1,1,1,1
haan_ghil_muulnaat_1780561467308.png,0,1,1,1,0,1
haan_ghil_muulnaat_1780561467833.png,1,1,1,1,1,1
haan_ghil_muulnaat_1780561468880.png,0,0,1,1,0,0
haan_ghil_muulnaat_1780561469547.png,0,0,0,0,0,0
haan_ghil_muulnaat_1780561470198.png,0,1,0,1,0,0
haan_ghil_muulnaat_1780561470704.png,0,1,1,1,0,0
haan_ghil_muulnaat_1780561471226.png,0,1,1,1,0,1
haan_ghil_muulnaat_1780561471844.png,0,1,0,1,1,1
haan_ghil_muulnaat_1780561472392.png,1,1,1,1,0,0
haan_ghil_muulnaat_1780561473057.png,0,1,1,1,1,1
haan_ghil_muulnaat_1780561473565.png,0,1,1,1,0,0
haan_ghil_muulnaat_1780561474099.png,0,0,1,1,0,1
haan_ghil_muulnaat_1780561474596.png,0,1,1,1,0,0
